Date,Temperature,Precipitation,GlacierRunoff
2030-01-01,-22.72852185,10.36442179,0
2030-02-01,-22.00513554,18.64246045,0
2030-03-01,-20.26027348,28.69610975,0
2030-04-01,-15.3447636,30.77702802,0
2030-05-01,-9.852231312,48.20351361,0.07
2030-06-01,-4.318833804,41.13266463,15.93
2030-07-01,0.360762107,21.03682471,71.37
2030-08-01,4.959605375,13.54539778,153.35
2030-09-01,4.31198816,11.49871879,145.12
2030-10-01,-0.388614582,15.56542976,58.56
2030-11-01,-7.301801836,18.22307475,1.71
2030-12-01,-14.38174632,22.64451971,0
2031-01-01,-21.02130656,20.8700973,0
2031-02-01,-22.97490079,18.16676551,0
2031-03-01,-20.12937875,33.00024373,0
2031-04-01,-14.92045297,43.294908,0
2031-05-01,-9.388899833,43.86864872,0
2031-06-01,-4.40921419,39.82529644,16.27
2031-07-01,0.310240722,28.40378303,69.38
2031-08-01,4.220047767,19.22639602,138.6
2031-09-01,3.793368694,17.11163034,138.31
2031-10-01,-0.335514319,14.89010735,61.73
2031-11-01,-5.963536707,25.32416647,7.37
2031-12-01,-14.39927924,14.96399295,0
2032-01-01,-20.98992624,19.10460803,0
2032-02-01,-22.56568863,21.87808104,0
2032-03-01,-19.37591074,26.81158052,0
2032-04-01,-14.36429966,43.16324179,0
2032-05-01,-10.23371472,50.34141664,0
2032-06-01,-4.469751254,34.8319139,4.96
2032-07-01,1.292014074,20.07654397,76.72
2032-08-01,5.131075779,16.28762168,155.3
2032-09-01,4.616614791,13.82514854,151.15
2032-10-01,-0.244834903,15.49523118,66.17
2032-11-01,-7.251017392,20.09319483,2.61
2032-12-01,-14.85014102,17.00669348,0
2033-01-01,-19.75888538,15.99347346,0
2033-02-01,-22.24610717,21.1632276,0
2033-03-01,-21.18009808,22.60692658,0
2033-04-01,-15.38515033,46.10179512,0
2033-05-01,-8.981734246,37.16451145,0.1
2033-06-01,-3.813772479,36.15269543,11.89
2033-07-01,0.947132081,27.63042917,72.66
2033-08-01,4.897267199,18.4020553,153.9
2033-09-01,4.212177445,15.69783777,142.48
2033-10-01,-0.395400102,15.60536205,57.77
2033-11-01,-7.586890759,18.88866943,2.03
2033-12-01,-13.98799958,14.56394904,0
2034-01-01,-19.95522602,16.2234227,0
2034-02-01,-22.35250051,24.11314615,0
2034-03-01,-20.07795722,31.06287632,0
2034-04-01,-15.67192623,42.42540873,0
2034-05-01,-9.127757275,49.81257005,0
2034-06-01,-4.506980217,36.43948712,2.42
2034-07-01,1.072525871,16.9217318,77.74
2034-08-01,4.924050178,16.37657405,145.46
2034-09-01,4.690148445,11.36902284,151.88
2034-10-01,0.337499797,16.94029632,66.83
2034-11-01,-6.74300853,16.72997344,3.72
2034-12-01,-14.83592735,21.4135743,0
2035-01-01,-21.22786722,17.5353435,0
2035-02-01,-22.05217464,21.26527604,0
2035-03-01,-19.90853839,28.71198407,0
2035-04-01,-14.88879376,42.19542323,0
2035-05-01,-9.034972355,46.81343057,0
2035-06-01,-3.805610113,36.1751876,6.46
2035-07-01,0.875592935,25.92552637,76.18
2035-08-01,4.911941098,18.34615331,148.1
2035-09-01,4.620365762,12.51161275,152.35
2035-10-01,-0.239671609,14.23622969,66.18
2035-11-01,-6.731990141,16.09165967,3.47
2035-12-01,-14.34654235,21.35050527,0
2036-01-01,-21.03827579,20.21781231,0
2036-02-01,-22.41865113,21.96615738,0
2036-03-01,-20.48066683,30.22342352,0
2036-04-01,-14.55612759,47.53646208,0
2036-05-01,-8.744711715,50.00509715,0.1
2036-06-01,-4.10790965,33.88842792,28.46
2036-07-01,1.332840782,21.36222258,95.48
2036-08-01,4.947863653,18.49465094,151.64
