Simulation 01/10/1999 18:25:55 - 30/09/2010 02:25:55,,,,,,,,,,,,,,,,,,,,,,,
,basin01_01 - SWE (m),basin01_02 - SWE (m),basin02_02 - SWE (m),basin01_03 - SWE (m),basin01_04 - SWE (m),basin01_05 - SWE (m),basin01_06 - SWE (m),basin01_07 - SWE (m),basin01_08 - SWE (m),basin04_02 - SWE (m),basin02_04 - SWE (m),basin02_05 - SWE (m),basin02_06 - SWE (m),basin02_03 - SWE (m),basin03_03 - SWE (m),basin04_03 - SWE (m),basin03_04 - SWE (m),basin03_05 - SWE (m),basin03_06 - SWE (m),basin03_07 - SWE (m),basin04_04 - SWE (m),basin04_05 - SWE (m),basin04_06 - SWE (m)
1999-09-01,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-02,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-03,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-04,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-05,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-06,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-07,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-08,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-09,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-10,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-11,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-12,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-13,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-14,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-15,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-16,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-17,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-18,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-19,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-20,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-21,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-22,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-23,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-27,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-28,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-29,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.27,0.25,0.25,0.25
1999-09-30,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.28,0.25,0.25,0.25
1999-10-01,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.28,0.25,0.25,0.25
1999-10-02,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.28,0.25,0.25,0.25
1999-10-03,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.28,0.25,0.25,0.25
1999-10-04,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.28,0.25,0.25,0.25
1999-10-05,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.28,0.25,0.25,0.25
1999-10-06,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.28,0.25,0.25,0.25
1999-10-07,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.28,0.25,0.25,0.25
1999-10-08,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-09,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-10,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-11,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-12,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-13,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-14,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-15,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-16,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-17,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-18,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-19,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-20,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-21,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-22,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-23,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-27,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.25
1999-10-28,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.26
1999-10-29,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.26
1999-10-30,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.26
1999-10-31,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.26
1999-11-01,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.26
1999-11-02,0.25,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.25,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.26
1999-11-03,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.26,0.28,0.25,0.25,0.26
1999-11-04,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.26,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.26,0.29,0.26,0.25,0.26
1999-11-05,0.25,0.25,0.25,0.26,0.26,0.27,0.27,0.27,0.27,0.25,0.26,0.27,0.27,0.26,0.25,0.26,0.26,0.26,0.27,0.29,0.26,0.26,0.27
1999-11-06,0.25,0.25,0.25,0.26,0.26,0.27,0.27,0.27,0.27,0.25,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.27,0.30,0.26,0.26,0.27
1999-11-07,0.25,0.25,0.26,0.26,0.26,0.27,0.27,0.27,0.28,0.25,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.27,0.30,0.26,0.26,0.28
1999-11-08,0.25,0.25,0.26,0.26,0.27,0.27,0.27,0.27,0.28,0.25,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.27,0.30,0.26,0.26,0.28
1999-11-09,0.25,0.25,0.26,0.26,0.27,0.27,0.27,0.27,0.28,0.25,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.27,0.30,0.26,0.26,0.28
1999-11-10,0.25,0.26,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.25,0.27,0.27,0.28,0.26,0.26,0.26,0.26,0.26,0.27,0.30,0.27,0.26,0.28
1999-11-11,0.25,0.26,0.26,0.26,0.27,0.27,0.28,0.28,0.28,0.26,0.27,0.27,0.28,0.27,0.26,0.27,0.26,0.26,0.27,0.30,0.27,0.26,0.28
1999-11-12,0.25,0.25,0.26,0.27,0.27,0.27,0.28,0.28,0.28,0.26,0.27,0.28,0.29,0.27,0.26,0.27,0.26,0.26,0.28,0.30,0.27,0.26,0.28
1999-11-13,0.25,0.25,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.26,0.28,0.28,0.29,0.27,0.26,0.27,0.26,0.26,0.28,0.31,0.27,0.26,0.29
1999-11-14,0.25,0.25,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.26,0.28,0.28,0.29,0.27,0.26,0.27,0.26,0.26,0.28,0.31,0.27,0.26,0.29
1999-11-15,0.25,0.25,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.26,0.28,0.28,0.29,0.27,0.26,0.27,0.26,0.26,0.28,0.31,0.27,0.26,0.29
1999-11-16,0.25,0.25,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.26,0.28,0.28,0.29,0.27,0.26,0.27,0.26,0.26,0.28,0.31,0.27,0.26,0.29
1999-11-17,0.25,0.25,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.26,0.28,0.28,0.29,0.27,0.26,0.27,0.26,0.26,0.28,0.31,0.27,0.26,0.29
1999-11-18,0.25,0.25,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.26,0.28,0.28,0.29,0.27,0.26,0.27,0.26,0.26,0.28,0.31,0.27,0.26,0.29
1999-11-19,0.25,0.25,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.26,0.28,0.28,0.29,0.27,0.26,0.27,0.26,0.26,0.28,0.31,0.27,0.26,0.29
1999-11-20,0.25,0.25,0.26,0.27,0.27,0.28,0.28,0.29,0.29,0.26,0.28,0.28,0.29,0.27,0.26,0.27,0.26,0.26,0.28,0.31,0.27,0.26,0.29
1999-11-21,0.25,0.25,0.26,0.27,0.28,0.28,0.29,0.29,0.30,0.26,0.28,0.29,0.30,0.28,0.26,0.27,0.26,0.26,0.28,0.31,0.28,0.27,0.29
1999-11-22,0.25,0.26,0.26,0.27,0.28,0.28,0.29,0.29,0.30,0.26,0.28,0.29,0.30,0.28,0.26,0.28,0.26,0.26,0.28,0.31,0.28,0.27,0.30
1999-11-23,0.25,0.26,0.27,0.27,0.28,0.29,0.29,0.29,0.30,0.26,0.28,0.29,0.30,0.28,0.26,0.28,0.26,0.26,0.28,0.31,0.28,0.27,0.30
1999-11-24,0.25,0.26,0.27,0.28,0.28,0.29,0.29,0.30,0.30,0.26,0.29,0.29,0.31,0.28,0.26,0.28,0.26,0.26,0.29,0.32,0.28,0.27,0.30
1999-11-25,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-11-26,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-11-27,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-11-28,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-11-29,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-11-30,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-01,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-02,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-03,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-04,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-05,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-06,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-07,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-08,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-09,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-10,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-11,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-12,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-13,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-14,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-15,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-16,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-17,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-18,0.25,0.26,0.27,0.28,0.28,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-19,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-20,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-21,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-22,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-23,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-24,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-25,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-26,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-27,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-28,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-29,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-30,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
1999-12-31,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
2000-01-01,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
2000-01-02,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
2000-01-03,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
2000-01-04,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
2000-01-05,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
2000-01-06,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.31,0.28,0.26,0.28,0.26,0.27,0.29,0.32,0.28,0.27,0.31
2000-01-07,0.25,0.26,0.27,0.28,0.29,0.29,0.30,0.30,0.31,0.26,0.29,0.30,0.32,0.29,0.26,0.28,0.27,0.27,0.29,0.33,0.29,0.27,0.31
2000-01-08,0.25,0.26,0.27,0.28,0.29,0.30,0.30,0.31,0.31,0.26,0.29,0.30,0.32,0.29,0.26,0.29,0.27,0.27,0.29,0.33,0.29,0.28,0.32
2000-01-09,0.25,0.26,0.27,0.28,0.29,0.30,0.30,0.31,0.32,0.26,0.30,0.31,0.32,0.29,0.27,0.29,0.27,0.27,0.30,0.33,0.29,0.28,0.32
2000-01-10,0.25,0.26,0.28,0.28,0.29,0.30,0.30,0.31,0.32,0.27,0.30,0.31,0.33,0.29,0.27,0.29,0.27,0.27,0.30,0.33,0.29,0.28,0.32
2000-01-11,0.25,0.26,0.28,0.28,0.29,0.30,0.31,0.31,0.32,0.27,0.30,0.31,0.33,0.29,0.27,0.29,0.27,0.27,0.30,0.33,0.29,0.28,0.33
2000-01-12,0.25,0.27,0.28,0.29,0.29,0.30,0.31,0.31,0.32,0.27,0.30,0.32,0.34,0.30,0.27,0.30,0.27,0.27,0.30,0.34,0.30,0.28,0.34
2000-01-13,0.25,0.27,0.28,0.29,0.29,0.30,0.31,0.31,0.32,0.27,0.30,0.32,0.34,0.30,0.27,0.30,0.27,0.27,0.31,0.34,0.30,0.28,0.34
2000-01-14,0.25,0.27,0.28,0.29,0.29,0.30,0.31,0.32,0.32,0.27,0.31,0.32,0.34,0.30,0.27,0.30,0.27,0.27,0.31,0.34,0.30,0.29,0.35
2000-01-15,0.25,0.27,0.28,0.29,0.29,0.30,0.31,0.32,0.32,0.27,0.31,0.32,0.34,0.30,0.27,0.30,0.27,0.27,0.31,0.34,0.30,0.29,0.35
